"","Pair","Ligand","Ligand.name","Receptor","Receptor.name"
"1214","Grp_brs3","Grp","gastrin-releasing peptide","Brs3","bombesin-like receptor 3"
"1215","Grp_grpr","Grp","gastrin-releasing peptide","Grpr","gastrin-releasing peptide receptor"
"1216","Grp_nmbr","Grp","gastrin-releasing peptide","Nmbr","neuromedin B receptor"
"1217","Gstp1_traf2","Gstp1","glutathione S-transferase pi 1","Traf2","TNF receptor-associated factor 2"
"1218","Guca2a_gucy2c","Guca2a","guanylate cyclase activator 2A (guanylin)","Gucy2c","guanylate cyclase 2C (heat stable enterotoxin receptor)"
"1219","Guca2b_gucy2c","Guca2b","guanylate cyclase activator 2B (uroguanylin)","Gucy2c","guanylate cyclase 2C (heat stable enterotoxin receptor)"
"1220","Guca2b_gucy2d","Guca2b","guanylate cyclase activator 2B (uroguanylin)","Gucy2d","guanylate cyclase 2D, membrane (retina-specific)"
"1221","Gzmb_chrm3","Gzmb","granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)","Chrm3","cholinergic receptor, muscarinic 3"
"1222","Gzmb_igf2r","Gzmb","granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)","Igf2r","insulin-like growth factor 2 receptor"
"1223","Gzmb_pgrmc1","Gzmb","granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)","Pgrmc1","progesterone receptor membrane component 1"
"1224","Has2_cd44","Has2","hyaluronan synthase 2","Cd44","CD44 molecule (Indian blood group)"
"1225","Has2_hmmr","Has2","hyaluronan synthase 2","Hmmr","hyaluronan-mediated motility receptor (RHAMM)"
"1226","Hbegf_cd44","Hbegf","heparin-binding EGF-like growth factor","Cd44","CD44 molecule (Indian blood group)"
"1227","Hbegf_cd82","Hbegf","heparin-binding EGF-like growth factor","Cd82","CD82 molecule"
"1228","Hbegf_cd9","Hbegf","heparin-binding EGF-like growth factor","Cd9","CD9 molecule"
"1229","Hbegf_egfr","Hbegf","heparin-binding EGF-like growth factor","Egfr","epidermal growth factor receptor"
"1230","Hbegf_erbb2","Hbegf","heparin-binding EGF-like growth factor","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"1231","Hbegf_erbb4","Hbegf","heparin-binding EGF-like growth factor","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"1232","Hbegf_prlr","Hbegf","heparin-binding EGF-like growth factor","Prlr","prolactin receptor"
"1233","Hcrt_hcrtr1","Hcrt","hypocretin (orexin) neuropeptide precursor","Hcrtr1","hypocretin (orexin) receptor 1"
"1234","Hcrt_hcrtr2","Hcrt","hypocretin (orexin) neuropeptide precursor","Hcrtr2","hypocretin (orexin) receptor 2"
"1235","Hcrt_npffr2","Hcrt","hypocretin (orexin) neuropeptide precursor","Npffr2","neuropeptide FF receptor 2"
"1236","Hdc_hrh1","Hdc","histidine decarboxylase","Hrh1","histamine receptor H1"
"1237","Hdc_hrh2","Hdc","histidine decarboxylase","Hrh2","histamine receptor H2"
"1238","Hdc_hrh3","Hdc","histidine decarboxylase","Hrh3","histamine receptor H3"
"1239","Hdc_hrh4","Hdc","histidine decarboxylase","Hrh4","histamine receptor H4"
"1240","Hebp1_fpr3","Hebp1","heme binding protein 1","Fpr3","formyl peptide receptor 3"
"1241","Hgf_cd44","Hgf","hepatocyte growth factor (hepapoietin A; scatter factor)","Cd44","CD44 molecule (Indian blood group)"
"1242","Hgf_met","Hgf","hepatocyte growth factor (hepapoietin A; scatter factor)","Met","met proto-oncogene"
"1243","Hgf_sdc1","Hgf","hepatocyte growth factor (hepapoietin A; scatter factor)","Sdc1","syndecan 1"
"1244","Hgf_sdc2","Hgf","hepatocyte growth factor (hepapoietin A; scatter factor)","Sdc2","syndecan 2"
"1245","Hgf_st14","Hgf","hepatocyte growth factor (hepapoietin A; scatter factor)","St14","suppression of tumorigenicity 14 (colon carcinoma)"
"1246","Hhipl2_cachd1","Hhipl2","HHIP-like 2","Cachd1","cache domain containing 1"
"1247","Hhla3_chrm3","Hhla3","HERV-H LTR-associating 3","Chrm3","cholinergic receptor, muscarinic 3"
"1248","Hla-a_aplp2","Hla-a","major histocompatibility complex, class I, A","Aplp2","amyloid beta (A4) precursor-like protein 2"
"1249","Hla-a_cd3d","Hla-a","major histocompatibility complex, class I, A","Cd3d","CD3d molecule, delta (CD3-TCR complex)"
"1250","Hla-a_cd3g","Hla-a","major histocompatibility complex, class I, A","Cd3g","CD3g molecule, gamma (CD3-TCR complex)"
"1251","Hla-a_erbb2","Hla-a","major histocompatibility complex, class I, A","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"1252","Hla-a_kir2dl1","Hla-a","major histocompatibility complex, class I, A","Kir2dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"
"1253","Hla-a_kir2dl3","Hla-a","major histocompatibility complex, class I, A","Kir2dl3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
"1254","Hla-a_kir3dl1","Hla-a","major histocompatibility complex, class I, A","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
"1255","Hla-a_kir3dl2","Hla-a","major histocompatibility complex, class I, A","Kir3dl2","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
"1256","Hla-a_lilrb1","Hla-a","major histocompatibility complex, class I, A","Lilrb1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"1257","Hla-a_lilrb2","Hla-a","major histocompatibility complex, class I, A","Lilrb2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
"1258","Hla-b_canx","Hla-b","major histocompatibility complex, class I, B","Canx","calnexin"
"1259","Hla-b_cd3d","Hla-b","major histocompatibility complex, class I, B","Cd3d","CD3d molecule, delta (CD3-TCR complex)"
"1260","Hla-b_cd3g","Hla-b","major histocompatibility complex, class I, B","Cd3g","CD3g molecule, gamma (CD3-TCR complex)"
"1261","Hla-b_kir2dl3","Hla-b","major histocompatibility complex, class I, B","Kir2dl3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
"1262","Hla-b_kir3dl1","Hla-b","major histocompatibility complex, class I, B","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
"1263","Hla-b_klrd1","Hla-b","major histocompatibility complex, class I, B","Klrd1","killer cell lectin-like receptor subfamily D, member 1"
"1264","Hla-b_lilrb1","Hla-b","major histocompatibility complex, class I, B","Lilrb1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"1265","Hla-b_lilrb2","Hla-b","major histocompatibility complex, class I, B","Lilrb2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
"1266","Hla-c_cd3d","Hla-c","major histocompatibility complex, class I, C","Cd3d","CD3d molecule, delta (CD3-TCR complex)"
"1267","Hla-c_cd3g","Hla-c","major histocompatibility complex, class I, C","Cd3g","CD3g molecule, gamma (CD3-TCR complex)"
"1268","Hla-c_ddr1","Hla-c","major histocompatibility complex, class I, C","Ddr1","discoidin domain receptor tyrosine kinase 1"
"1269","Hla-c_kir2dl1","Hla-c","major histocompatibility complex, class I, C","Kir2dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"
"1270","Hla-c_kir2dl3","Hla-c","major histocompatibility complex, class I, C","Kir2dl3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
"1271","Hla-c_kir2ds4","Hla-c","major histocompatibility complex, class I, C","Kir2ds4","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4"
"1272","Hla-c_kir3dl1","Hla-c","major histocompatibility complex, class I, C","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
"1273","Hla-c_lilra3","Hla-c","major histocompatibility complex, class I, C","Lilra3","leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"
"1274","Hla-c_lilrb1","Hla-c","major histocompatibility complex, class I, C","Lilrb1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"1275","Hla-c_lilrb2","Hla-c","major histocompatibility complex, class I, C","Lilrb2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
"1276","Hla-c_notch4","Hla-c","major histocompatibility complex, class I, C","Notch4","notch 4"
"1277","Hla-c_slc9c2","Hla-c","major histocompatibility complex, class I, C","Slc9c2","solute carrier family 9, member C2 (putative)"
"1278","Hla-e_kir3dl1","Hla-e","major histocompatibility complex, class I, E","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
"1279","Hla-e_klrc1","Hla-e","major histocompatibility complex, class I, E","Klrc1","killer cell lectin-like receptor subfamily C, member 1"
"1280","Hla-e_klrc2","Hla-e","major histocompatibility complex, class I, E","Klrc2","killer cell lectin-like receptor subfamily C, member 2"
"1281","Hla-e_klrd1","Hla-e","major histocompatibility complex, class I, E","Klrd1","killer cell lectin-like receptor subfamily D, member 1"
"1282","Hla-e_slc16a4","Hla-e","major histocompatibility complex, class I, E","Slc16a4","solute carrier family 16, member 4"
"1283","Hla-g_cd4","Hla-g","major histocompatibility complex, class I, G","Cd4","CD4 molecule"
"1284","Hla-g_kir2dl4","Hla-g","major histocompatibility complex, class I, G","Kir2dl4","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"
"1285","Hla-g_klrc1","Hla-g","major histocompatibility complex, class I, G","Klrc1","killer cell lectin-like receptor subfamily C, member 1"
"1286","Hla-g_klrd1","Hla-g","major histocompatibility complex, class I, G","Klrd1","killer cell lectin-like receptor subfamily D, member 1"
"1287","Hla-g_lilrb1","Hla-g","major histocompatibility complex, class I, G","Lilrb1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"1288","Hla-g_lilrb2","Hla-g","major histocompatibility complex, class I, G","Lilrb2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
"1289","Hmgb1_sdc1","Hmgb1","high mobility group box 1","Sdc1","syndecan 1"
"1290","Hmgb1_thbd","Hmgb1","high mobility group box 1","Thbd","thrombomodulin"
"1291","Hp_asgr1","Hp","haptoglobin","Asgr1","asialoglycoprotein receptor 1"
"1292","Hp_asgr2","Hp","haptoglobin","Asgr2","asialoglycoprotein receptor 2"
"1293","Hp_itgam","Hp","haptoglobin","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"1294","Hp_itgb2","Hp","haptoglobin","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1295","Hras_agtr1","Hras","Harvey rat sarcoma viral oncogene homolog","Agtr1","angiotensin II receptor, type 1"
"1296","Hras_cav1","Hras","Harvey rat sarcoma viral oncogene homolog","Cav1","caveolin 1, caveolae protein, 22kDa"
"1297","Hras_grin2d","Hras","Harvey rat sarcoma viral oncogene homolog","Grin2d","glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
"1298","Hras_insr","Hras","Harvey rat sarcoma viral oncogene homolog","Insr","insulin receptor"
"1299","Hras_sdc2","Hras","Harvey rat sarcoma viral oncogene homolog","Sdc2","syndecan 2"
"1300","Hras_tlr2","Hras","Harvey rat sarcoma viral oncogene homolog","Tlr2","toll-like receptor 2"
"1301","Hras_tlr9","Hras","Harvey rat sarcoma viral oncogene homolog","Tlr9","toll-like receptor 9"
"1302","Hrg_fcgr1a","Hrg","histidine-rich glycoprotein","Fcgr1a","Fc fragment of IgG, high affinity Ia, receptor (CD64)"
"1303","Hsp90aa1_cftr","Hsp90aa1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Cftr","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
"1304","Hsp90aa1_egfr","Hsp90aa1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Egfr","epidermal growth factor receptor"
"1305","Hsp90aa1_fgfr3","Hsp90aa1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Fgfr3","fibroblast growth factor receptor 3"
"1306","Hsp90b1_asgr1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Asgr1","asialoglycoprotein receptor 1"
"1307","Hsp90b1_erbb2","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"1308","Hsp90b1_lrp1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Lrp1","low density lipoprotein receptor-related protein 1"
"1309","Hsp90b1_tlr1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr1","toll-like receptor 1"
"1310","Hsp90b1_tlr2","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr2","toll-like receptor 2"
"1311","Hsp90b1_tlr4","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr4","toll-like receptor 4"
"1312","Hsp90b1_tlr7","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr7","toll-like receptor 7"
"1313","Hsp90b1_tlr9","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr9","toll-like receptor 9"
"1314","Hspa1a_grin2d","Hspa1a","heat shock 70kDa protein 1A","Grin2d","glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
"1315","Hspa1a_tlr4","Hspa1a","heat shock 70kDa protein 1A","Tlr4","toll-like receptor 4"
"1316","Hspg2_chrm3","Hspg2","heparan sulfate proteoglycan 2","Chrm3","cholinergic receptor, muscarinic 3"
"1317","Hspg2_col13a1","Hspg2","heparan sulfate proteoglycan 2","Col13a1","collagen, type XIII, alpha 1"
"1318","Hspg2_itga2","Hspg2","heparan sulfate proteoglycan 2","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
"1319","Hspg2_itgb1","Hspg2","heparan sulfate proteoglycan 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"1320","Hspg2_ptprs","Hspg2","heparan sulfate proteoglycan 2","Ptprs","protein tyrosine phosphatase, receptor type, S"
"1321","Hspg2_sdc1","Hspg2","heparan sulfate proteoglycan 2","Sdc1","syndecan 1"
"1322","Iapp_calcr","Iapp","islet amyloid polypeptide","Calcr","calcitonin receptor"
"1323","Iapp_ramp1","Iapp","islet amyloid polypeptide","Ramp1","receptor (G protein-coupled) activity modifying protein 1"
"1324","Iapp_ramp2","Iapp","islet amyloid polypeptide","Ramp2","receptor (G protein-coupled) activity modifying protein 2"
"1325","Iapp_ramp3","Iapp","islet amyloid polypeptide","Ramp3","receptor (G protein-coupled) activity modifying protein 3"
"1326","Ibsp_itgav","Ibsp","integrin-binding sialoprotein","Itgav","integrin, alpha V"
"1327","Icam1_cav1","Icam1","intercellular adhesion molecule 1","Cav1","caveolin 1, caveolae protein, 22kDa"
"1328","Icam1_egfr","Icam1","intercellular adhesion molecule 1","Egfr","epidermal growth factor receptor"
"1329","Icam1_il2ra","Icam1","intercellular adhesion molecule 1","Il2ra","interleukin 2 receptor, alpha"
"1330","Icam1_il2rg","Icam1","intercellular adhesion molecule 1","Il2rg","interleukin 2 receptor, gamma"
"1331","Icam1_itgal","Icam1","intercellular adhesion molecule 1","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
"1332","Icam1_itgam","Icam1","intercellular adhesion molecule 1","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"1333","Icam1_itgax","Icam1","intercellular adhesion molecule 1","Itgax","integrin, alpha X (complement component 3 receptor 4 subunit)"
"1334","Icam1_itgb2","Icam1","intercellular adhesion molecule 1","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1335","Icam2_itgal","Icam2","intercellular adhesion molecule 2","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
"1336","Icam2_itgam","Icam2","intercellular adhesion molecule 2","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"1337","Icam2_itgb2","Icam2","intercellular adhesion molecule 2","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1338","Icam3_clec4m","Icam3","intercellular adhesion molecule 3","Clec4m","C-type lectin domain family 4, member M"
"1339","Icam3_itgad","Icam3","intercellular adhesion molecule 3","Itgad","integrin, alpha D"
"1340","Icam3_itgal","Icam3","intercellular adhesion molecule 3","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
"1341","Icam3_itgb2","Icam3","intercellular adhesion molecule 3","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1342","Icam4_itga2b","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itga2b","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
"1343","Icam4_itga4","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itga4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
"1344","Icam4_itgal","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
"1345","Icam4_itgam","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"1346","Icam4_itgav","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgav","integrin, alpha V"
"1347","Icam4_itgb1","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"1348","Icam4_itgb2","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1349","Icam4_itgb3","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
"1350","Icam4_rhag","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Rhag","Rh-associated glycoprotein"
"1351","Icam5_itgal","Icam5","intercellular adhesion molecule 5, telencephalin","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
"1352","Icam5_itgb2","Icam5","intercellular adhesion molecule 5, telencephalin","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"1353","Ifna10_ifnar1","Ifna10","interferon, alpha 10","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1354","Ifna10_ifnar2","Ifna10","interferon, alpha 10","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1355","Ifna13_ifnar1","Ifna13","interferon, alpha 13","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1356","Ifna13_ifnar2","Ifna13","interferon, alpha 13","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1357","Ifna14_ifnar1","Ifna14","interferon, alpha 14","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1358","Ifna14_ifnar2","Ifna14","interferon, alpha 14","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1359","Ifna16_ifnar1","Ifna16","interferon, alpha 16","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1360","Ifna16_ifnar2","Ifna16","interferon, alpha 16","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1361","Ifna17_ifnar1","Ifna17","interferon, alpha 17","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1362","Ifna17_ifnar2","Ifna17","interferon, alpha 17","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1363","Ifna1_ifnar1","Ifna1","interferon, alpha 1","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1364","Ifna1_ifnar2","Ifna1","interferon, alpha 1","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1365","Ifna21_ifnar1","Ifna21","interferon, alpha 21","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1366","Ifna21_ifnar2","Ifna21","interferon, alpha 21","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1367","Ifna2_ifnar1","Ifna2","interferon, alpha 2","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1368","Ifna2_ifnar2","Ifna2","interferon, alpha 2","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1369","Ifna4_ifnar1","Ifna4","interferon, alpha 4","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1370","Ifna4_ifnar2","Ifna4","interferon, alpha 4","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1371","Ifna5_ifnar1","Ifna5","interferon, alpha 5","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1372","Ifna5_ifnar2","Ifna5","interferon, alpha 5","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1373","Ifna6_ifnar1","Ifna6","interferon, alpha 6","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1374","Ifna6_ifnar2","Ifna6","interferon, alpha 6","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1375","Ifna7_ifnar1","Ifna7","interferon, alpha 7","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1376","Ifna7_ifnar2","Ifna7","interferon, alpha 7","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1377","Ifna8_ifnar1","Ifna8","interferon, alpha 8","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1378","Ifna8_ifnar2","Ifna8","interferon, alpha 8","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1379","Ifnb1_ifnar1","Ifnb1","interferon, beta 1, fibroblast","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1380","Ifnb1_ifnar2","Ifnb1","interferon, beta 1, fibroblast","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1381","Ifng_ifngr1","Ifng","interferon, gamma","Ifngr1","interferon gamma receptor 1"
"1382","Ifng_ifngr2","Ifng","interferon, gamma","Ifngr2","interferon gamma receptor 2 (interferon gamma transducer 1)"
"1383","Ifnl1_ifnlr1","Ifnl1","interferon, lambda 1","Ifnlr1","interferon, lambda receptor 1"
"1384","Ifnl1_il10rb","Ifnl1","interferon, lambda 1","Il10rb","interleukin 10 receptor, beta"
"1385","Ifnl2_ifnlr1","Ifnl2","interferon, lambda 2","Ifnlr1","interferon, lambda receptor 1"
"1386","Ifnl2_il10rb","Ifnl2","interferon, lambda 2","Il10rb","interleukin 10 receptor, beta"
"1387","Ifnl3_ifnlr1","Ifnl3","interferon, lambda 3","Ifnlr1","interferon, lambda receptor 1"
"1388","Ifnl3_il10rb","Ifnl3","interferon, lambda 3","Il10rb","interleukin 10 receptor, beta"
"1389","Ifnw1_ifnar1","Ifnw1","interferon, omega 1","Ifnar1","interferon (alpha, beta and omega) receptor 1"
"1390","Ifnw1_ifnar2","Ifnw1","interferon, omega 1","Ifnar2","interferon (alpha, beta and omega) receptor 2"
"1391","Igf1_igf1r","Igf1","insulin-like growth factor 1 (somatomedin C)","Igf1r","insulin-like growth factor 1 receptor"
"1392","Igf1_insr","Igf1","insulin-like growth factor 1 (somatomedin C)","Insr","insulin receptor"
"1393","Igf2_igf1r","Igf2","insulin-like growth factor 2 (somatomedin A)","Igf1r","insulin-like growth factor 1 receptor"
"1394","Igf2_igf2r","Igf2","insulin-like growth factor 2 (somatomedin A)","Igf2r","insulin-like growth factor 2 receptor"
"1395","Igf2_insr","Igf2","insulin-like growth factor 2 (somatomedin A)","Insr","insulin receptor"
"1396","Igfbp4_fzd8","Igfbp4","insulin-like growth factor binding protein 4","Fzd8","frizzled class receptor 8"
"1397","Igfbp4_lrp6","Igfbp4","insulin-like growth factor binding protein 4","Lrp6","low density lipoprotein receptor-related protein 6"
"1398","Igfl1_igflr1","Igfl1","IGF-like family member 1","Igflr1","IGF-like family receptor 1"
"1399","Igfl2_igflr1","Igfl2","IGF-like family member 2","Igflr1","IGF-like family receptor 1"
"1400","Igfl3_igflr1","Igfl3","IGF-like family member 3","Igflr1","IGF-like family receptor 1"
"1401","Ihh_boc","Ihh","indian hedgehog","Boc","BOC cell adhesion associated, oncogene regulated"
"1402","Ihh_cdon","Ihh","indian hedgehog","Cdon","cell adhesion associated, oncogene regulated"
"1403","Ihh_hhip","Ihh","indian hedgehog","Hhip","hedgehog interacting protein"
"1404","Ihh_ptch1","Ihh","indian hedgehog","Ptch1","patched 1"
"1405","Ihh_ptch2","Ihh","indian hedgehog","Ptch2","patched 2"
"1406","Il10_il10ra","Il10","interleukin 10","Il10ra","interleukin 10 receptor, alpha"
"1407","Il10_il10rb","Il10","interleukin 10","Il10rb","interleukin 10 receptor, beta"
"1408","Il10_sirpg","Il10","interleukin 10","Sirpg","signal-regulatory protein gamma"
"1409","Il11_il11ra","Il11","interleukin 11","Il11ra","interleukin 11 receptor, alpha"
"1410","Il11_il6st","Il11","interleukin 11","Il6st","interleukin 6 signal transducer (gp130, oncostatin M receptor)"
"1411","Il12a_cd28","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Cd28","CD28 molecule"
"1412","Il12a_il12rb1","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Il12rb1","interleukin 12 receptor, beta 1"
"1413","Il12a_il12rb2","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Il12rb2","interleukin 12 receptor, beta 2"
"1414","Il12b_il12rb1","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il12rb1","interleukin 12 receptor, beta 1"
"1415","Il12b_il12rb2","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il12rb2","interleukin 12 receptor, beta 2"
"1416","Il12b_il23r","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il23r","interleukin 23 receptor"
"1417","Il13_il13ra1","Il13","interleukin 13","Il13ra1","interleukin 13 receptor, alpha 1"
"1418","Il13_il13ra2","Il13","interleukin 13","Il13ra2","interleukin 13 receptor, alpha 2"
"1419","Il13_il2rg","Il13","interleukin 13","Il2rg","interleukin 2 receptor, gamma"
"1420","Il13_il4r","Il13","interleukin 13","Il4r","interleukin 4 receptor"
"1421","Il15_il15ra","Il15","interleukin 15","Il15ra","interleukin 15 receptor, alpha"
"1422","Il15_il2ra","Il15","interleukin 15","Il2ra","interleukin 2 receptor, alpha"
"1423","Il15_il2rb","Il15","interleukin 15","Il2rb","interleukin 2 receptor, beta"
"1424","Il15_il2rg","Il15","interleukin 15","Il2rg","interleukin 2 receptor, gamma"
"1425","Il16_ccr5","Il16","interleukin 16","Ccr5","chemokine (C-C motif) receptor 5 (gene/pseudogene)"
"1426","Il16_cd4","Il16","interleukin 16","Cd4","CD4 molecule"
"1427","Il16_grin2c","Il16","interleukin 16","Grin2c","glutamate receptor, ionotropic, N-methyl D-aspartate 2C"
"1428","Il16_grin2d","Il16","interleukin 16","Grin2d","glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
"1429","Il16_kcna3","Il16","interleukin 16","Kcna3","potassium voltage-gated channel, shaker-related subfamily, member 3"
"1430","Il16_kcnd1","Il16","interleukin 16","Kcnd1","potassium voltage-gated channel, Shal-related subfamily, member 1"
"1431","Il16_kcnd2","Il16","interleukin 16","Kcnd2","potassium voltage-gated channel, Shal-related subfamily, member 2"
"1432","Il16_kcnj10","Il16","interleukin 16","Kcnj10","potassium inwardly-rectifying channel, subfamily J, member 10"
